"D(Room, Room_GT)","D(Office, Office_GT)","D(Church, Church_GT)","D(Village, Village_GT)"
0.17336096,0.16497202,0.17800345,0.20666668
0.30508864,0.13332856,0.17155425,0.12718724
0.19982211,0.17461218,0.18424225,0.23356298
0.22189274,0.16167742,0.17276795,0.29133448
0.26130903,0.17725348,0.24901505,0.1253269
0.31085065,0.12771039,0.1673314,0.24224156
0.17779823,0.17065166,0.19636442,0.22763239
0.27247488,0.12022659,0.20307486,0.16777192
0.2048118,0.08494701,0.28061977,0.042038567
0.20161282,0.27869362,0.18166517,0.31776786
0.15930076,0.15643096,0.16486585,0.19666062
0.14678216,0.14911228,0.22521047,0.17968291
0.3683201,0.18613485,0.18915744,0.11693882
0.30326068,0.16963895,0.19641517,0.2347513
0.24891648,0.30814517,0.15703088,0.30260205
0.14903036,0.10727832,0.19370326,0.14863065
0.20459408,0.2848728,0.2596458,0.1884983
0.12352039,0.1337142,0.19208881,0.10464736
0.27710998,0.112677164,0.18218534,0.17487599
0.14754954,0.081881315,0.20846786,0.07686834
0.19341049,0.1316033,0.15696312,0.2523043
0.16328727,0.16386361,0.26728466,0.21471538
0.3570107,0.09454787,0.2867181,0.2950302
0.2536874,0.26681522,0.14250842,0.25074282
0.26734522,0.19327302,0.1900737,0.24774419
0.21758138,0.30016035,0.36345983,0.25689176
0.108569816,0.08389938,0.15192826,0.10854874
0.21121149,0.14422943,0.24887182,0.20187132
0.20157762,0.133403,0.19892763,0.24888751
0.20837188,0.119800694,0.13201019,0.15337628
0.22688867,0.124919266,0.1855663,0.24014573
0.5523706,0.3211266,0.1416335,0.13232674
0.12540177,0.21816067,0.20119293,0.19364312
0.14501865,0.12413769,0.20945753,0.15743339
0.2117629,0.15058513,0.26275986,0.18695626
0.15440424,0.15499292,0.26924828,0.17796671
0.10790058,0.11675872,0.23004113,0.15778483
0.11307329,0.09289513,0.16776575,0.17472278
0.30811164,0.11946292,0.1835396,0.2584218
0.27056044,0.15365888,0.15987495,0.2514021
0.11182388,0.13326125,0.1992488,0.14873244
0.15751125,0.23993167,0.1792289,0.2620197
0.28786477,0.22473536,0.15428731,0.26432616
0.3063083,0.106329866,0.2224128,0.2657122
0.17434835,0.13081166,0.23809294,0.25742343
0.25908127,0.27593052,0.1868756,0.2272676
0.2190066,0.13916959,0.1565871,0.2962823
0.19663937,0.14718989,0.25835764,0.2535874
0.22309305,0.13360344,0.18287449,0.23364179
0.2281593,0.13492224,0.32344842,0.2717621
0.23518035,0.15879212,0.17343721,0.40499496
0.17077497,0.12665536,0.23019046,0.15457515
0.20299709,0.1555027,0.15086415,0.24317104
0.47999862,0.084158465,0.21251096,0.042619985
0.2931889,0.24588242,0.2559216,0.10960833
0.27564228,0.2430539,0.27982515,0.20446707
0.33262497,0.14219248,0.16430108,0.08366868
0.3715265,0.08841306,0.090124436,0.15167667
0.21371746,0.22788492,0.16189472,0.24916907
0.1902493,0.162536,0.21807262,0.2463651
0.25653797,0.189923,0.19095449,0.2598742
0.45358202,0.05091571,0.25212747,0.0111654345
0.15406083,0.12444653,0.15040717,0.20213464
0.20121364,0.14382885,0.22095159,0.17059743
0.29303047,0.07475692,0.27426344,0.035030834
0.24503602,0.14211261,0.15663025,0.2387528
0.17439523,0.15465133,0.19396847,0.19255477
0.18970059,0.1424733,0.18119358,0.2682321
0.27661768,0.17750718,0.14467621,0.22474545
0.11934547,0.22762525,0.24293178,0.112617575
0.08785495,0.095929764,0.2528011,0.07412967
0.27030855,0.13178445,0.2610968,0.32463974
0.32924667,0.11498306,0.27230468,0.2275735
0.3040286,0.27218053,0.41054443,0.23806106
0.17388856,0.1532279,0.22287402,0.23595585
0.165231,0.10255926,0.21938619,0.27770665
0.13690962,0.1471743,0.19178343,0.095187016
0.29067746,0.23654698,0.27378777,0.109407894
0.21395656,0.31229892,0.11564397,0.2150431
0.05651268,0.09686116,0.12653111,0.100635745
0.25197622,0.07631864,0.19901037,0.15495025
0.20745867,0.20781368,0.12512879,0.21844165
0.25523585,0.20126021,0.14072917,0.23245142
0.34082928,0.1773892,0.15127034,0.27286017
0.21646859,0.1916803,0.20059013,0.15452503
0.25089535,0.10751502,0.22299625,0.19132066
0.09408353,0.11626565,0.21661174,0.15554938
0.17371935,0.1284555,0.19773261,0.17022353
0.28057364,0.16431677,0.14788982,0.26417583
0.12920552,0.09783998,0.24038453,0.16482744
0.38099486,0.14467235,0.20002048,0.1580756
0.2983549,0.30172843,0.3003032,0.18978544
0.30145863,0.11185703,0.24472682,0.11589486
0.06215255,0.12382043,0.20037225,0.20337544
0.14618298,0.18859315,0.18676598,0.19090705
0.11031012,0.14182062,0.21031511,0.2656804
0.12598442,0.11815112,0.17289905,0.14858025
0.124304466,0.14140722,0.1986703,0.13233612
0.09432421,0.17862813,0.18586321,0.16341451
0.20299558,0.21303807,0.17453997,0.2457627
0.16721019,0.15249304,0.17841013,0.12463016
0.3148735,0.20448385,0.15716076,0.1755182
0.088968,0.10374798,0.21961993,0.1318294
0.24091429,0.16262162,0.19207807,0.27635294
0.32052183,0.1309805,0.24603897,0.1695388
0.19270757,0.17226923,0.18969046,0.13367908
0.08358371,0.090612255,0.17130917,0.1778718
0.18235895,0.17677464,0.15387198,0.23108287
0.3267401,0.12519987,0.2139095,0.109586075
0.15698904,0.15735787,0.20749088,0.25167084
0.25822923,0.20176029,0.12329485,0.15627006
0.37745008,0.1874072,0.09463719,0.25741258
0.1556742,0.1373109,0.20074774,0.15379733
0.2252388,0.04467249,0.23218936,0.012623873
0.35169658,0.21594977,0.19969085,0.4033039
0.3071649,0.21225438,0.22306405,0.24728893
0.37290025,0.2283744,0.24700212,0.088677585
0.05183381,0.08655098,0.19741139,0.07160335
0.23147875,0.09269882,0.13306054,0.05033989
0.28349105,0.3460861,0.14763409,0.22238085
0.09997282,0.13180296,0.26418114,0.13550833
