ParticipantID,ArrayDistance,AngularDistance,Timestamp,ClipName,RT
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,127.93,2023-06-27T14:04:55+01:00,auralisation_Cube (3)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,118.55,2023-06-27T14:16:37+01:00,auralisation_Cube (1)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,117.24,2023-06-27T14:17:16+01:00,auralisation_Cube (2)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,51.19,2023-06-27T14:06:43+01:00,auralisation_Cube (2)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.76,2023-06-27T14:16:02+01:00,auralisation_Cube (2)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,118.55,2023-06-27T14:15:58+01:00,auralisation_Cube (1)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,50.77,2023-06-27T13:57:11+01:00,auralisation_Cube (3)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,2.38,2023-06-27T14:20:11+01:00,auralisation_Cube (6)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,118.55,2023-06-27T14:15:58+01:00,auralisation_Cube (1)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Near,12.43,2023-06-29T13:14:30+01:00,auralisation_Cube (1)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.19,2023-06-29T13:20:21+01:00,auralisation_Cube (3)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.11,2023-06-29T13:18:58+01:00,auralisation_Cube (2)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Near,12.43,2023-06-29T13:14:11+01:00,auralisation_Cube (1)_drums,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Near,10.86,2023-06-29T13:15:36+01:00,auralisation_Cube (2)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,57.85,2023-06-29T13:25:47+01:00,auralisation_Cube (6)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,60.32,2023-06-29T13:23:28+01:00,auralisation_Cube (4)_drums,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,57.85,2023-06-29T13:23:02+01:00,auralisation_Cube (6)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,119.38,2023-06-29T13:24:32+01:00,auralisation_Cube (5)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,119.68,2023-06-29T13:25:39+01:00,auralisation_Cube (4)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Near,12.43,2023-06-29T13:14:39+01:00,auralisation_Cube (1)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.19,2023-06-29T13:17:39+01:00,auralisation_Cube (3)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.11,2023-06-29T13:21:28+01:00,auralisation_Cube (2)_drums,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.11,2023-06-29T13:18:25+01:00,auralisation_Cube (1)_arp,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Medium,4.11,2023-06-29T13:19:06+01:00,auralisation_Cube (1)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,57.85,2023-06-29T13:25:20+01:00,auralisation_Cube (6)_drums,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Near,10.86,2023-06-29T13:14:05+01:00,auralisation_Cube (2)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,119.38,2023-06-29T13:25:14+01:00,auralisation_Cube (5)_singing,TRUE
b03e2ea8-f196-4204-9b40-b8ba43484c2b,Far,60.32,2023-06-29T13:22:18+01:00,auralisation_Cube (4)_singing,TRUE
